time,150,300,750,1200,1850,2850,4300,6000,9000,12000,size_150,size_300,size_750,size_1200,size_1850,size_2850,size_4300,size_6000,size_9000,size_12000
22,1657.0893095000256,1402.652657240029,1721.5777994199552,1814.489417520007,2014.0362601599982,2217.369385999963,2471.504483279966,2528.0968832399794,14020.755027700008,12112.249080140004,69333,137655,313873,490389,692613,1053911,1556443,2210396,3273968,4651051
23,1772.753394620031,1532.847375239965,1980.192387459988,2049.7974562800355,2005.2194712,2122.6200224200284,2694.6413944200176,2721.2739536599975,14366.911584580139,11962.46891496,70464,137866,329583,531749,759216,1137889,1605137,2381503,3630558,4814403
24,1671.705861739978,1603.348239060001,1868.0682536200002,1670.5822583199997,1955.8427218200268,1976.2560867999964,2775.9967107000175,2824.472967840047,13483.07414126008,12100.262045959968,66982,135040,313530,506184,746618,1125589,1741702,2409933,3726928,5081248
25,1377.8487054200132,1368.1292544600037,1604.9072029800136,1806.3274581800097,2001.0833836800066,2341.3618208399694,2198.9024605800096,2394.1804438599793,13265.371360999961,11932.974861439883,73143,145529,333341,535338,784866,1147580,1686522,2392511,3524273,4723190
26,1744.4117138000047,1441.5602298200274,1812.5414278600538,1971.6435664799837,2351.4768458999497,2176.0715619199746,2564.3963740000017,2727.6604318800555,13995.21850088008,12408.556793619959,73393,148789,363823,600492,887765,1334603,2043860,2926522,4394424,5876717
27,1669.8358540799945,1678.2213123399943,1629.67750875999,2172.2538011200104,2141.710516879967,2171.9405924000266,2496.3185339399843,2516.2252285800305,14419.107327939917,12347.219205500041,73933,146808,358720,578818,902424,1382405,2086642,2857809,4393174,5844954
28,1350.9521822399547,1621.1627818399702,1568.4138724799968,1776.5725377999934,1893.455059959978,2142.9318798199856,2437.6288679799845,2430.178626280004,14230.436829299968,10526.880277739932,67752,136210,291368,456482,653799,989010,1443047,2054790,2976535,4120947
29,1498.2239577199707,1259.45927596,1665.9188143999554,1652.9274036399984,1925.0159693200003,1832.214634720035,2225.0429682600006,2338.8573415799874,13730.75385849999,13401.736793339911,63233,133915,316304,519768,748088,1169200,1727921,2468242,3575265,4791703
30,1671.2673977600352,1610.2737994799809,1625.7777654000392,1837.4929120400338,1976.6954729999934,2291.937796799959,2535.6031831799846,2357.909129439984,12939.197599000105,12026.094695240068,70381,144704,321816,518464,726034,1137004,1721256,2575205,3790469,5145742
31,1722.4435799799903,1881.6005303199345,2573.6729909000132,2032.2753400200054,2146.8486343199893,2365.7892763400205,2713.9617179999295,2759.6309196599777,13697.86315579995,10800.358009019994,78143,155913,363329,560869,799562,1249323,1873076,2743713,4027592,5674669
32,1568.8439058200192,1560.3087530599632,2892.614681559986,1717.533116319969,1984.843025519981,2227.2280709999804,2936.4338296800006,3025.8264989600375,13598.225110519874,11354.048202640048,76581,150749,370297,593384,891576,1372783,2018718,2859855,4225139,5776440
33,1562.135731280011,1654.8058427199994,1976.1371469799897,2060.4515336000113,2058.2657300600004,2509.842101080025,2706.767748639977,2937.5772184799816,13273.73798146002,11594.94616825987,63840,124191,289767,459431,690422,1047678,1581316,2274210,3383110,4725127
34,1515.9043308200162,1711.6040982399873,1749.9496861400212,1735.746769160014,2087.307508260007,2742.7451579600047,2594.584426499995,5373.449745999995,13936.262471339833,13711.294008539968,66897,133610,302476,476892,710823,1100968,1604245,2365961,3473732,5076398
35,1510.1194190999986,1619.7153292999928,1769.9919262799986,1922.2698570000157,1907.3802209599553,2102.8146921600073,2349.0354664399865,8668.205430760048,13395.039110180009,10919.653576099969,70271,142326,314109,555780,810650,1135041,1764501,2691194,3786841,5248915
36,1589.748328239998,1494.2875921199638,1973.5146338800141,2191.781040539967,1857.676482220004,2058.444738599961,2446.7889984999683,2922.104950719973,13428.673926720072,10752.020793860023,79288,155755,338723,533730,812569,1214829,1845770,2625423,4155053,5769141
37,1760.749237739974,1520.5938522200267,1759.0904062999352,2120.7943320400364,1974.1247576399828,2413.801509660002,2323.5655272199783,2560.346309039968,12271.988225020052,13399.030615840114,63735,126593,298105,469426,690684,1055528,1598794,2327783,3532138,4940411
38,1595.787578740009,1701.9609015600163,2150.243806360033,1854.4611845199634,1952.0831357400102,2544.5891075399813,2548.4619666000062,2916.135073739977,14279.070375020085,11533.309892719995,68303,138216,311977,498973,744259,1119460,1659593,2414759,3620071,5384816
39,1584.2774391000094,1633.7278554200075,1738.0120265800042,1975.8576698799252,2383.552517199965,2165.58254606,2432.698237319976,2537.493067040039,11434.43588598002,12184.02809344005,73081,154495,337043,530261,784193,1164588,1705358,2496154,3700530,5086938
40,1590.7792247399848,1900.485935100005,1690.1863729800034,1843.4955477799176,1904.3390406799563,2204.3752128200094,2439.1735786599975,3090.5963271599803,13921.355942100101,12350.235436179955,72761,151454,341968,538253,799976,1145840,1706474,2587320,3866000,5208764
41,2083.6107818599558,1951.072045339969,1786.03150223996,2055.5497699000034,2312.443843719958,2170.7827562199827,2443.2084542400207,2577.931754499996,12474.585363020029,10713.621892660021,81518,157236,390826,623195,948690,1471747,2269558,3196168,4897344,6732837
42,1660.7593454799753,1623.8365979399732,2161.6507661399964,2249.2541855999816,2117.7424467000155,3913.7122095399973,2469.6238152200585,2684.0656727199957,13965.509530499934,12264.037600040034,67943,134995,308993,477700,721205,1115225,1637964,2301202,3402046,4498641
43,1407.981317259998,1814.9019421600224,1776.390408159963,1807.5995920399773,1830.5379336799751,3803.9322542599275,2325.1791664200146,2659.864261540033,13674.729825640025,10543.007459959992,75711,154203,346844,567475,816262,1229251,1767235,2482819,3759818,5374903
44,1618.1242662199866,1415.470280779984,1668.4238248000156,1652.1774315999537,1868.037761439974,2188.8437315200154,2267.5949171799766,2586.3675350799795,12130.029231139984,10162.12491336008,75401,154925,366747,537731,885175,1307916,2003309,2839325,4078894,5138662
45,1551.2692991600152,0.0,1462.596925460025,0.0,1503.7698319399824,1744.1123892400328,0.0,2466.9820910400185,11292.093259920028,43592.99346585982,79678,149254,332090,512576,714808,968458,1455235,2185124,3272856,4575718
