,P_10,P_9,P_8,P_7,P_6,P_5,P_4,P_3,P_2,P_1
17,3633.535569,3477.401385,3364.740811,3294.65824,2721.848732,2423.054494,2225.86683,2154.882625,2141.860076,2135.386022
18,4325.329517,3988.43146,3683.495861,3493.167492,2864.861323,2573.10962,2302.28886,2215.201682,2261.62332,2248.627451
19,4062.296678,3891.440668,3657.339645,3524.119916,2871.991731,2617.015898,2323.845463,2231.004066,2267.572415,2274.935932
20,4086.141529,3807.833457,3571.25173,3435.58625,2889.462829,2631.831493,2370.257944,2211.614559,2116.36435,2150.729465
21,4054.575233,3957.366351,3780.950622,3663.227209,3028.066751,2808.339878,2582.116635,2398.621607,2218.023989,2232.801404
22,4137.131279,3931.038237,3700.655417,3552.02604,2886.494585,2582.59086,2329.141211,2237.323785,2256.737266,2246.567927
23,3970.237692,3766.163214,3457.122241,3303.176737,2813.525428,2557.72286,2316.790287,2191.107125,2107.151197,2096.966561
24,4002.079857,3799.155766,3521.583349,3364.225242,2871.414424,2600.030585,2316.001492,2185.004942,2109.431878,2135.243746
25,4000.100082,3764.000083,3439.789828,3312.419337,2810.181971,2538.813871,2279.014451,2177.314204,2133.828334,2161.049752
26,4223.098827,3945.625625,3669.413245,3486.51442,2849.797114,2530.92951,2295.59571,2210.665239,2256.859302,2243.986952
27,4163.698254,3873.542328,3672.898624,3475.411372,2833.555405,2548.184973,2291.569372,2202.951023,2239.278204,2227.119521
28,4310.021875,4049.98115,3727.263574,3512.901532,2880.890019,2645.79995,2359.039226,2266.97601,2312.094354,2332.321197
29,3870.985813,3589.253896,3374.864839,3283.333227,2822.707866,2590.686839,2294.087539,2170.979779,2079.155207,2137.099335
30,4387.846725,4129.319678,3869.588389,3676.062257,2942.928071,2717.04187,2494.863543,2266.880347,2138.69452,2175.246852
31,4158.229053,3921.205856,3677.613721,3526.390813,2929.006447,2716.726012,2509.217445,2300.634652,2141.85158,2126.444667
32,4069.561618,3812.409396,3557.859919,3412.142828,2874.070205,2637.848582,2418.631761,2198.052638,2084.808236,2086.782422
33,3870.575763,3616.257875,3372.711418,3256.178578,2799.374233,2541.743038,2298.305123,2157.220257,2112.721202,2107.95651
34,3908.771452,3656.890075,3416.548191,3292.560552,2801.522936,2509.964241,2257.10411,2159.971656,2148.988503,2169.026384
35,4094.022043,3838.036673,3509.171169,3378.476981,2883.156318,2633.695254,2384.76411,2188.738377,2095.894673,2122.813067
36,4007.416047,3801.573575,3603.952429,3459.413679,2923.106995,2673.676982,2442.710704,2266.66929,2101.607908,2091.441427
37,3998.094948,3772.581386,3514.42337,3376.411164,2923.293838,2636.950044,2405.162105,2192.069003,2082.758896,2072.737307
38,3952.876402,3766.152977,3580.10327,3484.882735,2838.840775,2567.384193,2317.779516,2239.415705,2306.928283,2295.152419
39,3969.071957,3799.075024,3604.78415,3483.895679,2946.858911,2711.102604,2491.677903,2359.300703,2243.381165,2241.056659
40,4098.244092,3896.213053,3701.548008,3599.906347,3085.977746,2890.251719,2697.809719,2513.60148,2235.481926,2218.49105
41,4048.054597,3865.310487,3717.625475,3624.084873,3013.902772,2796.657459,2574.814434,2384.139025,2219.225979,2313.861792
42,4193.80597,3932.32284,3671.973053,3522.735289,2899.657049,2644.53829,2346.574199,2214.606787,2212.048206,2231.092791
43,4055.324367,3800.770977,3590.195451,3472.946158,2953.99616,2758.514447,2555.29323,2401.853697,2184.34692,2172.049442
44,4203.516794,3986.562832,3757.500472,3604.545424,2915.540118,2693.162567,2449.079309,2248.991617,2148.970861,2175.687911
