,VMAF_10,VMAF_9,VMAF_8,VMAF_7,VMAF_6,VMAF_5,VMAF_4,VMAF_3,VMAF_2,VMAF_1
34,6.581429771,6.621661667,6.494710948,6.487237917,6.041265802,5.5315605,4.259898458,2.866381615,0.280631417,0.258743177
35,16.42148161,16.3498483,16.19560903,16.15028596,15.57286332,14.62411295,13.00220027,11.15261436,3.472552031,2.711525896
36,46.56958055,46.4304844,46.22695592,46.14615899,45.35084773,44.3965998,42.72436108,40.59061869,25.90516617,23.91185793
37,57.42772252,57.34752241,57.11571015,56.99753158,56.15529862,54.99361438,52.78503665,50.10893072,32.99208147,30.80265816
38,33.00671548,32.99930509,32.77528517,32.66599227,31.67307417,30.56659976,27.91632848,24.5448872,3.859412052,1.861802865
39,22.72195003,22.82432577,22.59100758,22.44690772,21.78258014,20.91408683,18.66718982,16.46255806,4.032907229,2.70981625
40,18.40426123,18.42595671,18.31306154,18.13473419,18.01154739,17.33078413,16.33507506,15.03491863,8.863237302,7.801910958
41,38.68133751,38.69451514,38.54446272,38.36581118,37.89173883,36.9426808,34.99436934,32.73277809,27.74956222,27.205553
42,26.31446134,26.23392586,26.022278,25.70281968,24.74575056,23.03751144,20.14948572,15.84536921,1.8457695,0.117194333
43,30.29720266,30.58463556,30.32219112,29.96881177,29.87368099,29.56949222,28.5970773,27.61252761,23.31846501,22.72630898
44,20.52694771,20.56031978,20.51335881,20.24427255,20.24160023,20.04484083,19.17830597,18.33236322,12.84434043,11.97820049
