Bitrate,FPS,FileSize,Height,Motion,Power,Quality,Video,Width,video
150,24,16486,180,3.9954133333333335,253.39976129999764,0.0180825,,320,tos
150,24,20043,180,1.8144583333333333,371.8705406599936,0.0,,320,tos
150,24,15710,180,5.539397916666666,271.3132152800065,1.2063404166666667,,320,tos
150,24,18265,180,4.588969166666668,192.6229682400026,9.780230416666663,,320,tos
150,24,24611,180,11.034921666666667,87.64059459999862,27.775834166666666,,320,tos
150,24,15929,180,6.487972916666666,163.41397818000246,0.9956104166666668,,320,tos
150,24,22325,180,8.776983333333334,309.80396361999897,0.0,,320,tos
150,24,17816,180,6.4590283333333325,705.1766098799969,0.0,,320,tos
150,24,20587,180,5.980225416666666,163.05666913999653,0.0,,320,tos
150,24,13472,180,3.17995125,128.2353817800049,0.0,,320,tos
150,24,13693,180,3.7474925,206.41723032000095,15.9790475,,320,tos
