time,150,300,750,1200,1850,2850,4300,6000,9000,12000,size_150,size_300,size_750,size_1200,size_1850,size_2850,size_4300,size_6000,size_9000,size_12000
14,2347.2856465199957,2573.2209527199675,2399.557072180037,2513.3771768199986,2984.7862948399707,2872.3246354400117,3481.1591972200185,3759.014270900014,16651.483027300055,12113.17103716009,72486,146634,304833,490567,712707,1104110,1635364,2356370,3661625,4570521
15,2676.736552740025,2337.750400040024,2555.8493457399973,3348.2276242400067,3332.916494159953,3348.150764020036,3583.7687758200045,3598.981171300067,15939.660463740183,14457.803675679843,71977,142370,325464,505321,755092,1063644,1568193,2293779,3514764,4527580
16,2054.213067999998,1768.272074079955,1868.0238041999519,2193.2706472200216,2583.0114613599935,2714.011920619968,2792.0769934600394,3301.681713760002,15203.65978186001,14258.385996620022,68375,139011,288125,449594,663784,1022177,1485552,2263735,3479250,4458533
17,978.6352532400178,749.0231998399959,1306.9135669800216,937.3504435799778,1364.5619751600125,1261.978985899982,2386.3299717600003,2487.053476399963,12048.54458812014,12624.174722560005,58839,77456,144423,174523,256536,412828,1065494,1262986,2236388,4030870
18,1893.46926548,1749.4180911400126,2317.1323917399877,2035.9605902199783,2216.271098639999,2039.7977939800257,3075.8137945200533,2355.4734605199938,14098.215050440034,11553.67998695997,71804,137450,290202,421551,588040,896004,1530845,2129739,3364311,3695482
19,1574.2224890399666,1570.6802302000106,1793.1767196999963,1899.7780612799652,1955.4001346999967,2057.656560919946,2507.989632400013,2630.5624926799574,14244.388328599827,13593.44306567993,76305,154937,376054,607613,882296,1329279,1814485,2726958,3940125,4532958
20,2817.622686660008,2177.0541759599955,2339.352899659959,1693.4160071600136,2046.2805175399917,2369.201000659985,2774.4437197399648,2899.4752782799605,14716.308296359992,12314.48404855993,71496,137008,332811,517260,777121,1188238,1741976,2494448,3653577,4402676
21,3015.769084959963,1958.847692299998,2245.084186199996,2412.2392621999743,2359.4182668999583,3110.042113039991,3403.4387171799826,3155.8087999399677,15176.785621819923,11720.62442226004,72000,144932,322721,508455,749059,1149239,1662271,2452563,3717972,4334364
22,1727.8662975200177,1398.7473725999698,1773.2540280799758,1877.9166520199706,2044.1437643799964,2296.7016016599655,2593.1830850599717,3267.5725757200335,14507.71214484013,13567.094325079928,82450,164678,390630,619842,938257,1419936,2126366,2943543,4393617,5709605
23,1657.9979661199877,1552.248081099966,1872.6064699200142,1666.2808706399583,2167.026640839955,2362.103479540011,2679.4817518999535,2890.569070879972,13970.04858167993,12235.718244379985,66888,131045,342968,532978,790351,1251167,1804724,2606904,3780057,4732873
24,1918.1229639799767,1864.1068401999992,1801.7691007400117,1920.837323320019,1945.0727778799655,2574.7121247799914,2914.3997760800094,2774.809008039998,15412.73500795995,12884.657738659982,68423,137121,299156,460058,665047,1023185,1497269,2320650,3602731,4499063
25,1894.8183226799692,3343.9924810199964,1934.3544240000037,2181.845444799971,2074.301410160021,2549.5953293999683,2934.3633817399887,3124.519613239974,15048.171270320076,11186.947703039987,75009,151405,345597,544263,803120,1186270,1692801,2518575,3904597,4320158
26,1712.200736120044,1961.9078139599924,1810.8354254399837,2096.020017279935,2547.5213761200157,2490.134682880014,2801.9381446199923,2886.845219839978,14827.119409780164,11962.751088420031,72864,148563,344514,523547,753472,1087350,1602487,2335505,3826637,4932213
27,1648.1426380399625,1714.426721520028,1875.7296949400534,1989.3400289199844,2187.6639457000138,2551.3678297599263,2855.467447739986,2810.2844901599574,14384.336022439926,12353.107450479947,79249,155990,363788,579358,859622,1342097,1914461,2760771,4257980,5368965
28,1935.1330267400008,1817.439108939986,1742.5613906600174,1994.439075760005,2478.00765530001,2485.019735579999,2864.890349179982,3214.6895732199873,15329.455565200053,13605.569798520151,75998,150686,365178,604371,889970,1310352,1930512,2825610,4318187,5672426
29,1582.846979519998,1746.414342039996,1960.8081829599905,1934.6077961800238,2282.6985015999544,2192.319095219985,2917.4708696999533,2817.166219720043,14769.739596999942,11032.496946380032,76901,150348,354328,572231,847871,1258467,1765106,2638416,4091095,5168508
30,2016.9082725399767,2121.7865453599907,2313.574088579986,2276.5138979599524,2301.9094975,2516.3249381199967,3306.8163200199533,3007.7628181999717,15008.342904599958,12318.160575040036,66802,135587,285555,432276,635388,939935,1391274,2038635,3204988,3738122
31,1821.773703539945,1914.137388320024,2040.5890172199215,2234.5087254199743,2326.563365759971,2560.3631059600193,3029.770969799958,3117.8821986399844,15319.430288160118,11231.070697159985,81989,156479,380570,615406,922438,1383568,2044693,2958851,4450185,5305086
32,1952.1879823399604,2135.693885859988,2368.220685979989,2203.6575595000077,2437.7266799999798,3012.600310979953,3291.0258109200095,3324.5328559000536,15663.831399359951,12569.86290887995,70013,140910,346695,553398,834279,1269106,1822452,2652402,4197491,5097876
33,1939.2751528999797,1812.6696802599772,3210.104283099957,2153.0285843999827,2566.491268199993,5085.196232580049,3035.7466072400257,3192.3980667199467,14871.645428140004,12075.369871880072,71372,142295,330608,525743,758877,1153292,1743981,2537174,4070744,4882637
34,1736.3121962999676,1752.0630709599682,2323.619423619968,2190.4638226200095,2245.554687099986,3204.9699437200043,2651.170106659989,2811.652148859969,14735.4960648601,13416.52096196008,66486,129917,307699,481228,682718,1018219,1482963,2217092,3521044,4316794
