time,150,300,750,1200,1850,2850,4300,6000,9000,12000,size_150,size_300,size_750,size_1200,size_1850,size_2850,size_4300,size_6000,size_9000,size_12000
27,486.44438910000645,1010.5290418399745,1280.9847890999663,1208.5292668800084,1673.1389547799918,1536.0231365599884,1498.4569902200365,1725.2056571199482,2070.4682212000425,2531.3909852200723,73933,146808,358720,578818,902424,1382405,2086642,2857809,4393174,5844954
28,709.2719537199919,1081.8923473200248,853.2707978200497,844.3211061800193,1870.0134149600344,1276.3052703600006,1985.8171614999883,1434.7457046799846,1598.7444906600067,2543.082598120056,67752,136210,291368,456482,653799,989010,1443047,2054790,2976535,4120947
29,814.8423480999381,1088.322271380046,1191.9740304599218,1247.4741321000092,1120.7928677800028,1538.4553780400238,1956.8888172600782,1750.3446992600166,2058.1168822599757,2110.5460609200964,63233,133915,316304,519768,748088,1169200,1727921,2468242,3575265,4791703
30,1004.070333879994,1239.5420777399759,1409.3114570999987,1268.1799178600304,1457.1963122199923,1537.8024163000537,1629.7906341799771,2129.838546100027,2008.9537489399681,2705.7500063600382,70381,144704,321816,518464,726034,1137004,1721256,2575205,3790469,5145742
31,460.4318199400577,1258.8059900199787,1198.1247217599757,1401.1779518200146,1571.5297849400467,1373.832808499963,1839.6679944000225,1851.6264312999956,1739.8780387800361,2976.156187280045,78143,155913,363329,560869,799562,1249323,1873076,2743713,4027592,5674669
32,835.8067476799833,1267.6956452799768,1112.0416914000398,1348.2393651599414,1302.9803066400418,1256.2125895800218,2040.2726614800013,1962.103465920065,2555.888107940056,2190.9021695200117,76581,150749,370297,593384,891576,1372783,2018718,2859855,4225139,5776440
33,818.1624387999791,1160.4041899600452,1286.9465442599885,1366.3180603800702,1461.3186279200236,1522.171083219957,1789.6673089200176,1867.1839319200135,2067.7637652200065,2687.828032180001,63840,124191,289767,459431,690422,1047678,1581316,2274210,3383110,4725127
34,501.24092996005584,806.8788475799729,1492.2156060400139,1269.3139617200395,1371.9302700800072,1509.3683467199717,1693.6044488600455,1737.800832960018,1805.0643328599908,2709.3509022400794,66897,133610,302476,476892,710823,1100968,1604245,2365961,3473732,5076398
35,781.3302585000347,1126.3119336200016,1083.4250177599697,953.2096119399894,1013.9960575399491,1042.0524997399625,1818.9053581000153,1430.1311315800594,2147.5800060399943,2157.5386146400106,70271,142326,314109,555780,810650,1135041,1764501,2691194,3786841,5248915
36,903.113225639996,1251.7435520999825,1110.3764816400253,1473.009177299933,1297.1524607000065,1471.7411995399943,1739.8861559399593,1674.0803569800628,2117.4332231800236,2555.320384640032,79288,155755,338723,533730,812569,1214829,1845770,2625423,4155053,5769141
37,1059.2333299599868,929.7600209600123,1167.0016963600283,1365.8329511200573,1353.9919663199798,1466.0475733400253,1515.7971120000457,1777.8687085399906,1623.7518212200957,2574.2880691999926,63735,126593,298105,469426,690684,1055528,1598794,2327783,3532138,4940411
38,722.1036783600375,1401.4918735999709,928.3675286199541,843.5265907599196,1451.5561563000138,1189.863518020018,1785.20920072001,1480.5271658000074,2038.5464120599427,2182.756412620016,68303,138216,311977,498973,744259,1119460,1659593,2414759,3620071,5384816
39,1002.7700291199453,1295.3673528399686,1263.2820171599888,1377.449793379972,1001.5450082799816,1883.2171401200121,1799.775935000047,1804.5976113400557,2083.868094860012,2595.8630057001155,73081,154495,337043,530261,784193,1164588,1705358,2496154,3700530,5086938
40,879.2997230999363,1479.4695259999862,1254.8540031400717,1280.2380233799577,1302.599352499994,1514.3200962200299,1441.5405779800822,1994.996588660004,1631.3343135999985,2625.524088160015,72761,151454,341968,538253,799976,1145840,1706474,2587320,3866000,5208764
41,449.23560484004156,771.5626551199648,1160.2344993600545,883.5704793399918,1413.359400859963,1274.9853956399784,1805.9556756200127,1652.5483387999393,2034.087355779955,2152.915998400076,81518,157236,390826,623195,948690,1471747,2269558,3196168,4897344,6732837
42,944.5256660399882,1166.2106449999883,873.3224166800228,1249.6802469999693,972.3167825199571,1687.9783762399802,1909.4072981999761,1507.917046460063,2070.408008319995,2671.546574280035,67943,134995,308993,477700,721205,1115225,1637964,2301202,3402046,4498641
43,811.4723059400167,1076.8491320400226,1192.3077791199084,1253.2393123200527,1300.0270925400364,1678.0468179400214,1935.8394948800415,1749.3168870600366,1689.5503179200641,2602.0962594800076,75711,154203,346844,567475,816262,1229251,1767235,2482819,3759818,5374903
44,456.6368828999339,697.3491340599503,1138.5423154800392,1148.3121160999235,1701.754977659968,1472.994329740026,1490.0605077400232,1966.919499779964,1978.0692864600296,2110.441129940011,75401,154925,366747,537731,885175,1307916,2003309,2839325,4078894,5138662
45,13279183.011814514,0.0,1161.0595322399677,0.0,1127.3636350400284,1074.6033661799775,1704.7709549599913,1460.4394776000445,1948.1875638199908,0.0,79678,149254,332090,512576,714808,968458,1455235,2185124,3272856,4575718
